codigo_da_postagem,nome_portal,texto_da_postagem,texto_do_comentario,sentimento
6,@g1,recusa de padre em batizado de menina gera debate sobre escolha de nomes no brasil veja regras g1,de acordo com a família da bebê yaminah o padre não quis pronunciar o nome alegando que este tinha relação com outra crença religiosa avisem ao padre que ele precisa de um curso de atualização brasil hoje é um estado laico e a abolição da escravidão já foi promulgada,NEGATIVO
6,@g1,recusa de padre em batizado de menina gera debate sobre escolha de nomes no brasil veja regras g1,hipocrisia nada demais o nome da criança,NEUTRO
6,@g1,recusa de padre em batizado de menina gera debate sobre escolha de nomes no brasil veja regras g1,os pais devem escolher bem o nome dos filhos para não acontecer igual aquele caso do mário,NEGATIVO
7,@g1,uma noiva dois noivos casamento poliândrico agita redes sociais na índia g1,olha as merdas que viram notícia do g1,POSITIVO
8,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,ei qual é o nome do piloto da reportagem,NEUTRO
8,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,tem nome não,NEGATIVO
8,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,pq não citam o nome,NEGATIVO
8,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,cidadao de bem,POSITIVO
8,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,o nome dele é tarso marques e adivinha em quem ele votou,NEUTRO
9,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,quando ele fez parte da fórmula 1,NEUTRO
9,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,falou que é bolsonarista é só vasculhar que acha o crime boicoteglobo,NEGATIVO
9,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,nome de rico não pode sair em manchete de reportagem,NEUTRO
9,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,tarso marques é o nome dele mas rico nunca tem nome na manchete,POSITIVO
9,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,só pra lembrar que fazia o lata velha para a flobo,NEGATIVO
9,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,não lembro desse na fórmula 1,NEGATIVO
9,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,qual o nommmmmeeeee,NEUTRO
9,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,tropa do 22 não falha nunca,NEGATIVO
9,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,esse ex piloto não tem nome não,NEGATIVO
9,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,apresentador do auto esporte,NEUTRO
9,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,ex piloto tarso marques é preso por receptação,NEGATIVO
9,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,bem feito,POSITIVO
9,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,qual o nome g1,POSITIVO
9,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,tarso marques,NEUTRO
9,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,mais um cidadão do bem cretino,POSITIVO
9,@g1,ex piloto de fórmula 1 é preso por receptação de carro de luxo em sp veículo estava sem placa g1,hahahahaha outro bolsonarista pra caralho vocês filhos das putas fãs do bolsonaro não se cansam puta que pariu todo dia vocês aparecem nas páginas policiais imbatíveis,NEGATIVO
10,@g1,66 jornalistas estrangeiros e mais quem poderá acompanhar no stf o julgamento da trama golpista g1,foi uma tese criada para envolver os oposicionistas e o ex presidente pois o atual não ia e não vai ter popularidade para se reeleger nao precisa ser o bolsonaro pois depois de todas as gastanças e lambanças qq um vence lula nao vai se aguentar,NEGATIVO
10,@g1,66 jornalistas estrangeiros e mais quem poderá acompanhar no stf o julgamento da trama golpista g1,que trama golpista globolixo,NEUTRO
10,@g1,66 jornalistas estrangeiros e mais quem poderá acompanhar no stf o julgamento da trama golpista g1,trama golpista é teu cu,NEUTRO
11,@g1,deserdar filho ou pai negligente cônjuge fora do testamento as novas regras de herança em debate no congresso g1,netanyahu convoca reunião para discutir ofensiva iminente na cidade de gaza,NEGATIVO
11,@g1,deserdar filho ou pai negligente cônjuge fora do testamento as novas regras de herança em debate no congresso g1,incêndio em casa de recuperação de dependentes químicos deixa 5 mortos e 11 feridos g1,POSITIVO
11,@g1,deserdar filho ou pai negligente cônjuge fora do testamento as novas regras de herança em debate no congresso g1,justiça stf confirma anulação de provas contra paulo bernardo na lava jato decisão sobre ex ministro de lula e dilma teve 3 votos favoráveis e 2 contrários edson fachin e andré mendonça leia no poder360,POSITIVO
11,@g1,deserdar filho ou pai negligente cônjuge fora do testamento as novas regras de herança em debate no congresso g1,veja a lista de padarias e conveniências citadas na operação carbono oculto contra o pcc em sp,POSITIVO
12,@g1,incêndio em casa de recuperação de dependentes químicos deixa 5 mortos e 11 feridos g1,acendeu o baseado e desmaiou,NEUTRO
12,@g1,incêndio em casa de recuperação de dependentes químicos deixa 5 mortos e 11 feridos g1,será que o chatolick passou por lá e gritou tenham um dia iluminado e aconteceu essa tragédia,NEGATIVO
13,@g1,justiça manda prender policial penal que atirou em entregador do ifood g1,ele foi preso qual a atualização do caso,NEGATIVO
13,@g1,justiça manda prender policial penal que atirou em entregador do ifood g1,desde quando carcereiro virou policial penal,NEUTRO
13,@g1,justiça manda prender policial penal que atirou em entregador do ifood g1,agora esse motoboy vai pensar 2x antes de ficar filmando os outros kkkkkkkm,NEUTRO
13,@g1,justiça manda prender policial penal que atirou em entregador do ifood g1,pra a justiça ser justa tem que deixar o entregador atirar no pé dele,POSITIVO
13,@g1,justiça manda prender policial penal que atirou em entregador do ifood g1,além de preso precisa exonerado do cargo de policial penal não tem a menor capacidade para desempenhar essa função e menos ainda andar armado,NEGATIVO
13,@g1,justiça manda prender policial penal que atirou em entregador do ifood g1,em que será que ele votou pra presidente em 2022 não falha um,NEGATIVO
13,@g1,justiça manda prender policial penal que atirou em entregador do ifood g1,esse é deus pátria e familia,POSITIVO
13,@g1,justiça manda prender policial penal que atirou em entregador do ifood g1,o brabão ai,NEGATIVO
13,@g1,justiça manda prender policial penal que atirou em entregador do ifood g1,liberem as armas eles dizem imagina vários imbecis como esse com armas nas mãos,NEGATIVO
13,@g1,justiça manda prender policial penal que atirou em entregador do ifood g1,não sei se é o caso prédios com portaria virtual deveriam ser obrigados ter um espaço acesso exclusivo para os entregadores deixarem as encomendas não toparia com tanta gente escr0ta,NEGATIVO
13,@g1,justiça manda prender policial penal que atirou em entregador do ifood g1,justiça cobrança da sociedade porque se fosse pela justiça ele tava em casa afastado do serviço e recebendo,POSITIVO
13,@g1,justiça manda prender policial penal que atirou em entregador do ifood g1,ele tem que ser expulso está agindo como miliciano isso é a herança que a família bolsonaro deixou no rj ano que vem tem eleição os milicianos vão obrigar as pessoas votarem nos deputados e governo que os favoçam no rj o presidente deles é bolsonaro,NEGATIVO
14,@g1,brasileiro que atuava para o exército de israel é morto na faixa de gaza g1,e o desgoverno pouco se importa,NEUTRO
14,@g1,brasileiro que atuava para o exército de israel é morto na faixa de gaza g1,não quero julgar pois a guerra gera sofrimento para todos os lados porém se lutava por israel é provável repito é provável que tenha matado muitos palestinos mesmo de forma indireta isso sim é muito mais triste,NEGATIVO
14,@g1,brasileiro que atuava para o exército de israel é morto na faixa de gaza g1,a galera paz e amor vibrando com a notícia nos comentários hipocrisia a gente vê por aqui,POSITIVO
14,@g1,brasileiro que atuava para o exército de israel é morto na faixa de gaza g1,contexto importante que devia estar na chamada da matéria,POSITIVO
14,@g1,brasileiro que atuava para o exército de israel é morto na faixa de gaza g1,e o mané ainda foi morto pelo próprio exército de israel _ ツ _,NEGATIVO
14,@g1,brasileiro que atuava para o exército de israel é morto na faixa de gaza g1,imbecil é morto lutando uma guerra de outro país tem uns trouxas também que foram lutar na guerra da ucrânia e morreram pra mim existe dois tipos de pessoas que vão para essas guerras pessoas suicidas ou pessoas que querem matar alguém ou seja só doente quer ir pra guerra,NEGATIVO
14,@g1,brasileiro que atuava para o exército de israel é morto na faixa de gaza g1,acho que confundiram ele com uma criança,NEUTRO
14,@g1,brasileiro que atuava para o exército de israel é morto na faixa de gaza g1,deus levou,POSITIVO
15,@g1,investigação cita 19 nomes de postos supostamente ligados ao pcc veja endereços g1,imagina quando a começar a divulgação dos possíveis poderosos que facilitaram tudo isso se tiver político envolvido o que não vai faltar é eleitor de corruptos de estimação defendendo seu bandido aqui no twitter,POSITIVO
15,@g1,investigação cita 19 nomes de postos supostamente ligados ao pcc veja endereços g1,será que os donos serão presos ou tratados como vítimas os fazendeiros tão transformando em vítimas,NEGATIVO
15,@g1,investigação cita 19 nomes de postos supostamente ligados ao pcc veja endereços g1,que postos o povo quer o nome dos envolvidos,POSITIVO
15,@g1,investigação cita 19 nomes de postos supostamente ligados ao pcc veja endereços g1,ué não eram mais de 1000 queremos nomes nomes e ibagens de preferencia,NEGATIVO
15,@g1,investigação cita 19 nomes de postos supostamente ligados ao pcc veja endereços g1,citaram apenas 19 de 1000 postos do pcc,NEUTRO
15,@g1,investigação cita 19 nomes de postos supostamente ligados ao pcc veja endereços g1,e até agora nenhum nome de terrorista foi falado,NEGATIVO
15,@g1,investigação cita 19 nomes de postos supostamente ligados ao pcc veja endereços g1,por favor quem mandou matar o celso daniel,POSITIVO
16,@g1,legendários psicólogos analisam método de desgaste físico e emocional de retiro que era envolto em mistério g1,tudo isso pq o caras querem fazer brotheragem no sigilo,POSITIVO
16,@g1,legendários psicólogos analisam método de desgaste físico e emocional de retiro que era envolto em mistério g1,eu resumo o que os professores falaram em uma pequena frase enquanto houver lavanderia tem troucha,POSITIVO
16,@g1,legendários psicólogos analisam método de desgaste físico e emocional de retiro que era envolto em mistério g1,o nome mudou,NEUTRO
16,@g1,legendários psicólogos analisam método de desgaste físico e emocional de retiro que era envolto em mistério g1,não passam de marmanjos brincando de escoteiros,NEGATIVO
17,@g1,erros da esquerda economia em baixa e alta do discurso liberal o que fez a direita voltar ao poder na bolívia após 20 anos g1,em 4 anos a esquerda volta pra consertar as merdas que a direita fez haja cama pra esconder filho da puta safado,NEGATIVO
17,@g1,erros da esquerda economia em baixa e alta do discurso liberal o que fez a direita voltar ao poder na bolívia após 20 anos g1,são tão simples assim os problemas de bolívia venezuela e outras ditaduras na américa do sul,NEGATIVO
17,@g1,erros da esquerda economia em baixa e alta do discurso liberal o que fez a direita voltar ao poder na bolívia após 20 anos g1,mostra o investimento no terro psicológico pra colocar liberais mercenários capitães do mato a serviço dos eua no poder e entregar o lítio para empresas americanas como fizeram e fazem no congo,NEGATIVO
17,@g1,erros da esquerda economia em baixa e alta do discurso liberal o que fez a direita voltar ao poder na bolívia após 20 anos g1,ascensão de facções criminosas ou lá os motivos são diferentes do crescimento da extrema direita e pcc,POSITIVO
17,@g1,erros da esquerda economia em baixa e alta do discurso liberal o que fez a direita voltar ao poder na bolívia após 20 anos g1,20 anos de miséria empobrecimento discursos e retóricas vazias com ações desastrosas aumento da criminalidade enriquecimento de pequenos grupos que cercam os poderosos e a repressão aos opositores explicam muito bem tudo o que acontece na bolívia,NEGATIVO
17,@g1,erros da esquerda economia em baixa e alta do discurso liberal o que fez a direita voltar ao poder na bolívia após 20 anos g1,vocês já não escondem mais o lado político foi se o tempo que a imprensa era imparcial,NEGATIVO
17,@g1,erros da esquerda economia em baixa e alta do discurso liberal o que fez a direita voltar ao poder na bolívia após 20 anos g1,o erro da esquerda sensata permitiu que a extrema direita voltasse ao poder para cometer as atrocidades costumeiras dos fascistas neo nazistas homofóbicos,NEGATIVO
17,@g1,erros da esquerda economia em baixa e alta do discurso liberal o que fez a direita voltar ao poder na bolívia após 20 anos g1,parece que evo fez de propósito atacar um aliado pra voltar ao poder não tinha um discurso perfeito agora deixar a oposição ganhar ele vai ter o cenário perfeito pra voltar daqui a 5 anos igual o pt com lula voltou depois de 6 anos,POSITIVO
17,@g1,erros da esquerda economia em baixa e alta do discurso liberal o que fez a direita voltar ao poder na bolívia após 20 anos g1,povo cansou de sofrer com a esquerda,NEGATIVO
18,@g1,fuscão preto chora me liga nuvem de lágrimas sabe qual hit sertanejo bombou no ano em que você nasceu digite o ano e descubra g1,tenho mais o que fazer,NEUTRO
18,@g1,fuscão preto chora me liga nuvem de lágrimas sabe qual hit sertanejo bombou no ano em que você nasceu digite o ano e descubra g1,meu ano não tem somente apartir de 1973,NEGATIVO
19,@g1,joão gomes jota pê e mestrinho tratam mal belchior e geraldo azevedo no tom roqueiro do baile dominguinho g1,belchior revirou na cova e geraldinho não merecia esta maldição só parem,NEGATIVO
19,@g1,joão gomes jota pê e mestrinho tratam mal belchior e geraldo azevedo no tom roqueiro do baile dominguinho g1,o que o menino dominguinhos fez para ser tão ultrajado,NEGATIVO
20,@g1,pague o quanto puder pode ser uma nova tendência entre restaurantes g1,nunca uma geração idiota foi tão bem estampada quanto nessa manchete com foto,NEGATIVO
20,@g1,pague o quanto puder pode ser uma nova tendência entre restaurantes g1,no sul do brasil 1 refri 1 sanduíche e 1 batata o cara vai pagar 50 reais no nordeste mesma coisa o cara vai colocar uma nota de 2 reais não é preconceito é cultura no sul já há locais assim pegue e faça o pix sem ninguém vigiar tente isso no nordeste,NEGATIVO
20,@g1,pague o quanto puder pode ser uma nova tendência entre restaurantes g1,tendência a falência,NEUTRO
20,@g1,pague o quanto puder pode ser uma nova tendência entre restaurantes g1,que noticia irrelevante,NEUTRO
20,@g1,pague o quanto puder pode ser uma nova tendência entre restaurantes g1,no brasil impossível empresário já tem o estado como sócio ou atende a população ou atende o estado os 2 não dá,NEGATIVO
20,@g1,pague o quanto puder pode ser uma nova tendência entre restaurantes g1,vou pagar 1 real por um bandeijao,NEUTRO
20,@g1,pague o quanto puder pode ser uma nova tendência entre restaurantes g1,pov não vai ser uma tendência principalmente no brasil hahahaahah,NEGATIVO
20,@g1,pague o quanto puder pode ser uma nova tendência entre restaurantes g1,10 pila tá bem pago,POSITIVO
20,@g1,pague o quanto puder pode ser uma nova tendência entre restaurantes g1,vai dar certo sim,POSITIVO
20,@g1,pague o quanto puder pode ser uma nova tendência entre restaurantes g1,aqui tu só vai receber 1 real animal,NEUTRO
20,@g1,pague o quanto puder pode ser uma nova tendência entre restaurantes g1,o lugar vai lotar de morador de rua ou pessoas sem condições de pagar nada além de centavos ou obesos mórbidos que comem mais que 6 pessoas juntas o negocio vai falir e fechar e eles vão culpar o mundo pq a ideia de gênio n deu certo,NEGATIVO
21,@g1,quais são os principais eventos paralelos da cop g1,essa flop 30 tem tudo para bombar,NEGATIVO
21,@g1,quais são os principais eventos paralelos da cop g1,o evento que já flopou,NEUTRO
21,@g1,quais são os principais eventos paralelos da cop g1,flop30,NEUTRO
22,@g1,rapper teto é o entrevistado no g1 ouviu ao vivo desta segunda feira 1º g1,g1 tentando criar astros que nunca se ouviu falar kkkkkk,POSITIVO
22,@g1,rapper teto é o entrevistado no g1 ouviu ao vivo desta segunda feira 1º g1,a starlink proporciona internet estável de alta velocidade para streaming chamadas de vídeo jogos on line e muito mais r 190 mês no primeiro ano de serviço residencial no brasil faça o pedido on line é fácil e leva menos de dois minutos,POSITIVO
22,@g1,rapper teto é o entrevistado no g1 ouviu ao vivo desta segunda feira 1º g1,hoje é o tetinho grande rapper esse mestre de vibes não pode morrer sem um ft meu,NEGATIVO
22,@g1,rapper teto é o entrevistado no g1 ouviu ao vivo desta segunda feira 1º g1,ninguém liga e ninguém vai assistir porra,NEGATIVO
22,@g1,rapper teto é o entrevistado no g1 ouviu ao vivo desta segunda feira 1º g1,parem de inventar pessoas,NEUTRO
22,@g1,rapper teto é o entrevistado no g1 ouviu ao vivo desta segunda feira 1º g1,só não pode ser de vidro esse teto aí senão quebra fácil,NEGATIVO
22,@g1,rapper teto é o entrevistado no g1 ouviu ao vivo desta segunda feira 1º g1,graças a deus não sei quem é,POSITIVO
23,@g1,governo projeta novas sanções dos eua com julgamento de bolsonaro por tentativa de golpe g1,entenda como isso é bom kkkkkk,POSITIVO
23,@g1,governo projeta novas sanções dos eua com julgamento de bolsonaro por tentativa de golpe g1,que golpe parem golpe está dando o stf no povo brasileiro,NEGATIVO
23,@g1,governo projeta novas sanções dos eua com julgamento de bolsonaro por tentativa de golpe g1,o tarcísio diz que entrega a soberania do brasil para o porco imundo se for presidente,NEGATIVO
23,@g1,governo projeta novas sanções dos eua com julgamento de bolsonaro por tentativa de golpe g1,cagamos para os eua,NEGATIVO
23,@g1,governo projeta novas sanções dos eua com julgamento de bolsonaro por tentativa de golpe g1,trump tá sendo muito bonzinho 50 de tarifa é muito pouco podia meter logo 150 pra começar a brincadeira,POSITIVO
23,@g1,governo projeta novas sanções dos eua com julgamento de bolsonaro por tentativa de golpe g1,seria surreal ver a magnitsky sendo implantada a cada decisão desde a pgr até a cada voto dessa farsa absurda,NEGATIVO
24,@g1,confederação brasileira de paraquedismo investiga acidente que matou paraquedista durante salto em boituva g1,que história é essa,NEUTRO
25,@g1,nomes de foragidos de megaoperação contra o pcc são incluídos em lista da interpol g1,pergunta quem é o advogado deles que chegam no ministro kkkkkkkkk,NEUTRO
25,@g1,nomes de foragidos de megaoperação contra o pcc são incluídos em lista da interpol g1,pq será que eles ficaram sabendo da operação,NEGATIVO
25,@g1,nomes de foragidos de megaoperação contra o pcc são incluídos em lista da interpol g1,agora a interolpol serve,NEUTRO
25,@g1,nomes de foragidos de megaoperação contra o pcc são incluídos em lista da interpol g1,o da esquerda é de catanduva interior de sp,NEUTRO
25,@g1,nomes de foragidos de megaoperação contra o pcc são incluídos em lista da interpol g1,parece o,NEUTRO
25,@g1,nomes de foragidos de megaoperação contra o pcc são incluídos em lista da interpol g1,paraguai batata,NEUTRO
25,@g1,nomes de foragidos de megaoperação contra o pcc são incluídos em lista da interpol g1,se não pegaram andré do rap qual probabilidade de pegar esses caras,NEGATIVO
25,@g1,nomes de foragidos de megaoperação contra o pcc são incluídos em lista da interpol g1,tem muita gente sofrendo do vírus koo na mão pq se eles forem presos vai fazer delação premiada e pode ter certeza que muitos irá cair,NEGATIVO
25,@g1,nomes de foragidos de megaoperação contra o pcc são incluídos em lista da interpol g1,pra não esquecer,NEGATIVO
26,@g1,três hospitais estaduais de sp passam a ser administrados pelo einstein g1,gênio da ciência e da administração de empresas o cara é foda,NEGATIVO
26,@g1,três hospitais estaduais de sp passam a ser administrados pelo einstein g1,alguém duvida do que o tarcísio faz parte,NEGATIVO
26,@g1,três hospitais estaduais de sp passam a ser administrados pelo einstein g1,dinheiro dos sus indo pra hospital privado,NEGATIVO
26,@g1,três hospitais estaduais de sp passam a ser administrados pelo einstein g1,eu achando que o einsten estava em decadência fechando a clínica de santana,NEUTRO
26,@g1,três hospitais estaduais de sp passam a ser administrados pelo einstein g1,ue mais ele nao morreu,NEGATIVO
26,@g1,três hospitais estaduais de sp passam a ser administrados pelo einstein g1,altas negociatas do tarcisio não é a toa que o cara mijada anda abraçado com bandeirinha de israel,NEGATIVO
26,@g1,três hospitais estaduais de sp passam a ser administrados pelo einstein g1,pcc e atual governo andam juntos tudo faz sentindo,NEUTRO
26,@g1,três hospitais estaduais de sp passam a ser administrados pelo einstein g1,nao e bom,POSITIVO
27,@g1,ataque hacker em empresa que opera o sistema pix desvia r 420 milhões bc bloqueia r 350 milhões g1,urna eletrônica que é confiável kkkkkkkkk,POSITIVO
27,@g1,ataque hacker em empresa que opera o sistema pix desvia r 420 milhões bc bloqueia r 350 milhões g1,qual o nível de segurança dessas empresas,POSITIVO
27,@g1,ataque hacker em empresa que opera o sistema pix desvia r 420 milhões bc bloqueia r 350 milhões g1,70 milhões de reais evaporou,NEUTRO
27,@g1,ataque hacker em empresa que opera o sistema pix desvia r 420 milhões bc bloqueia r 350 milhões g1,isso esta esquisito ocorreu outras vezes e o que é muito estranho é a imprensa dar pouca relevância e em poucos dias nem se fala mais nisso,NEGATIVO
27,@g1,ataque hacker em empresa que opera o sistema pix desvia r 420 milhões bc bloqueia r 350 milhões g1,mas tá ficando discarado isso hein,NEUTRO
27,@g1,ataque hacker em empresa que opera o sistema pix desvia r 420 milhões bc bloqueia r 350 milhões g1,orquestrados para descredibilizar o pix sendo que ele sequer foi afetado,NEGATIVO
27,@g1,ataque hacker em empresa que opera o sistema pix desvia r 420 milhões bc bloqueia r 350 milhões g1,deixem de ser desonestos e dêm a noticia direito a manchete faz parecer que o pix foi afetado canalhas,NEGATIVO
27,@g1,ataque hacker em empresa que opera o sistema pix desvia r 420 milhões bc bloqueia r 350 milhões g1,será por isso que tive três cartões bloqueados para utilização do pix,NEGATIVO
27,@g1,ataque hacker em empresa que opera o sistema pix desvia r 420 milhões bc bloqueia r 350 milhões g1,pela manchete até parece que o pix foi afetado,NEGATIVO
27,@g1,ataque hacker em empresa que opera o sistema pix desvia r 420 milhões bc bloqueia r 350 milhões g1,falta de segurança em operações financeiras bagunça já houve falha recentemente,NEGATIVO
27,@g1,ataque hacker em empresa que opera o sistema pix desvia r 420 milhões bc bloqueia r 350 milhões g1,culpa do vídeo sobre pix se ele existisse nada disso aconteceria,NEGATIVO
27,@g1,ataque hacker em empresa que opera o sistema pix desvia r 420 milhões bc bloqueia r 350 milhões g1,se tivessem contratado a equipe da urna eletrônica isso nunca aconteceria,NEUTRO
27,@g1,ataque hacker em empresa que opera o sistema pix desvia r 420 milhões bc bloqueia r 350 milhões g1,isso se tornou comum no governo pt,NEUTRO
27,@g1,ataque hacker em empresa que opera o sistema pix desvia r 420 milhões bc bloqueia r 350 milhões g1,apesar do episódio com bancos privados a infraestrutura central do pix não foi atingida e segue operando normalmente,NEGATIVO
27,@g1,ataque hacker em empresa que opera o sistema pix desvia r 420 milhões bc bloqueia r 350 milhões g1,a gente precisa fingir que acredita,NEUTRO
27,@g1,ataque hacker em empresa que opera o sistema pix desvia r 420 milhões bc bloqueia r 350 milhões g1,a invasão ocorreu apenas nos servidores da sinqia empresa privada o banco central tem que dispensar essa empresa,NEGATIVO
28,@g1,trabalhador filma redemoinho gigante de perto em mt g1,redimunho é deus mamãe olha lá o cavalo branco,POSITIVO
28,@g1,trabalhador filma redemoinho gigante de perto em mt g1,nossa imagina o tamanho do saci,NEUTRO
28,@g1,trabalhador filma redemoinho gigante de perto em mt g1,era só o que faltava no brasil,NEUTRO
28,@g1,trabalhador filma redemoinho gigante de perto em mt g1,aí o cara não consegue fugir do redemoinho saci,NEGATIVO
28,@g1,trabalhador filma redemoinho gigante de perto em mt g1,se olhar dentro do redemoinho já sabem né,NEUTRO
28,@g1,trabalhador filma redemoinho gigante de perto em mt g1,nossa que interessante ótima notícia,POSITIVO
28,@g1,trabalhador filma redemoinho gigante de perto em mt g1,aproveite já as super odds,POSITIVO
29,@g1,camarote na caçamba caminhonete de trio elétrico churrascada festas no camping de barretos duram 24 horas g1,tradução só putaria e bebedeira,NEUTRO
